"Metabolite","R2","RMSE","TrainingTime"
"m/z_119.0858658_RT_845.0360081",0.121449532053756,0.95018806556527,20.4815714359283
"m/z_181.1222311_RT_854.3462146",0.0859077236078183,1.02568710793337,18.048291683197
"m/z_188.0706505_RT_145.5962756",0.41320462721616,0.782259439456206,17.2959125041962
"m/z_205.0793257_RT_351.1913522",0.0319465135521339,0.934908381372825,17.2108442783356
"m/z_205.0970447_RT_145.2870487",0.402996023220546,0.777858172290319,19.9653692245483
"m/z_207.1377636_RT_256.1395654",0.454619873548561,0.777324478132427,17.7377955913544
"m/z_225.1484785_RT_256.0653238",0.485133865098957,0.743050538395021,16.7195982933044
"m/z_226.1801381_RT_736.4438485",0.000407287791368694,1.1420546322101,16.6733131408691
"m/z_230.0844822_RT_151.2073776",0.000154155026272504,1.03690542617993,17.5769832134247
"m/z_235.1306531_RT_854.2914655",0.0682548583632715,1.06487971252236,17.2377440929413
"m/z_244.1001478_RT_267.2318852",0.348101001962871,0.825340221070146,17.9328043460846
"m/z_245.0783504_RT_794.7021801",0.167277655839211,0.659947794242457,16.7276515960693
"m/z_245.1032212_RT_267.2631751",0.378008457895604,0.811765484179251,17.1877512931824
"m/z_252.0664634_RT_151.9797934",0.129892107129711,0.964365947133644,18.4773151874542
"m/z_258.1157937_RT_428.075508",0.118120570356117,0.981764015662389,18.7384536266327
"m/z_259.1187397_RT_428.093823",0.128668156402969,0.96176783171219,18.5235216617584
"m/z_272.1314185_RT_620.4182686",5.0006542856404e-06,0.975309428898113,18.9149959087372
"m/z_281.1382056_RT_844.9820992",0.162263923960121,0.932738947675344,17.3724164962769
"m/z_286.1472109_RT_725.9974243",0.107484347733519,0.935945848689887,18.0651443004608
"m/z_287.150197_RT_725.9980387",0.101605083728627,0.953102584052758,16.0833299160004
"m/z_288.1456967_RT_725.9999684",0.106166491998058,0.938539735167425,17.1944966316223
"m/z_294.1130797_RT_620.5929872",0.00250810190487609,1.0101437953497,16.2723400592804
"m/z_300.1627338_RT_768.3811832",0.00303572726035677,1.04407221459852,17.4257860183716
"m/z_301.1657795_RT_768.3918139",4.07711517665412e-05,1.03761710700154,18.4144580364227
"m/z_302.1616635_RT_768.3966959",2.85023408970639e-05,1.08726779365521,18.0223965644836
"m/z_314.1782856_RT_801.8806339",0.00574031241340901,1.05583436100347,16.5446071624756
"m/z_315.1812887_RT_801.8902808",0.000289886123921847,1.07047041296304,17.029465675354
"m/z_316.177216_RT_801.906744",0.00123437365925213,1.05994897146268,17.879679441452
"m/z_316.2114154_RT_223.6349828",0.166564939183798,0.801185596213486,17.0352482795715
"m/z_316.2113448_RT_188.3884268",0.198528445788921,0.861668524234852,16.0249993801117
"m/z_322.1442891_RT_768.4116026",0.0349224409373386,1.0314997686085,17.8162040710449
"m/z_328.1940412_RT_831.7311156",0.00095355949315579,1.03468727956351,16.1438322067261
"m/z_329.196861_RT_831.7500172",0.0018504167431441,1.07681931853841,16.6840081214905
"m/z_330.1930396_RT_831.7456402",2.29685224542519e-05,0.990156392006067,18.7360162734985
"m/z_336.1598601_RT_801.9152692",0.0132320136010518,1.03980644777758,17.4035491943359
"m/z_342.209293_RT_860.4756753",0.000918191238655779,0.979112168961204,16.2200582027435
"m/z_343.2125532_RT_860.4849756",0.000794908542013205,0.927651166164738,16.7702994346619
"m/z_344.2093006_RT_860.4910146",0.000287922500149938,0.921485679502066,17.8184480667114
"m/z_350.175476_RT_831.7820976",0.0217831211044269,1.02105148448975,16.7163772583008
"m/z_353.2678985_RT_843.7276219",0.066840899517378,0.911511760556077,18.9610025882721
"m/z_364.1908661_RT_860.5274255",0.0355736640533017,0.945311151789186,20.1343972682953
"m/z_415.2104746_RT_844.8939977",0.153504772885258,0.920184042585307,17.2685461044312
"m/z_416.2141684_RT_844.9225976",0.151554485201664,0.946938847475152,17.5331242084503
"m/z_430.2424608_RT_410.7017851",0.079758506318261,0.826935480748389,19.1006674766541
"m/z_432.2367427_RT_844.8221772",0.103637732331511,0.927642314987875,17.7315917015076
"m/z_437.1924628_RT_845.0838961",0.113932136437182,0.932288803701657,19.2720937728882
"m/z_438.1958051_RT_845.1045835",0.128837358576104,0.907587016410221,17.7674822807312
"m/z_518.3231057_RT_858.6255012",0.202353421746578,0.905965054597001,18.7818167209625
"m/z_571.286087_RT_725.9833916",0.186640126752737,0.897398211943554,19.857990026474
"m/z_599.31717_RT_768.3162403",0.00828173771068541,0.99229187804455,19.3834481239319
"m/z_600.3201164_RT_768.3111418",0.00387222033339419,0.988949072097716,18.2077357769012
"m/z_655.3797992_RT_831.6553299",0.000292839650622511,0.886842359757097,18.3584916591644
"m/z_656.3827902_RT_831.6573222",0.000349099285427152,0.983727485456875,17.9922926425934
